Order_ID,Order_Date,Product_Category,Product_Name,Customer_Segment,Review_Text,Rating,Sentiment_Score,Sentiment_Label,Response_Status
ORD-1000,2025-06-22,Beauty,Product_8,Corporate,Very poor customer service.,1,-0.53,Negative,Pending
ORD-1001,2025-03-26,Fashion,Product_9,Small Business,It's okay for the price.,3,0.03,Neutral,Pending
ORD-1002,2025-05-03,Beauty,Product_44,Corporate,Worst purchase ever.,2,-0.59,Negative,Replied
ORD-1003,2025-02-20,Sports,Product_36,Small Business,Does not match the description.,1,-0.94,Negative,Pending
ORD-1004,2025-08-03,Electronics,Product_11,Consumer,"Average product, nothing special.",3,0.11,Neutral,Pending
ORD-1005,2025-07-25,Fashion,Product_34,Consumer,Worst purchase ever.,1,-0.87,Negative,Pending
ORD-1006,2025-07-14,Electronics,Product_50,Consumer,Perfect fit and great color.,4,0.71,Positive,Pending
ORD-1007,2025-10-10,Home & Kitchen,Product_42,Small Business,Broken on arrival.,2,-0.91,Negative,Pending
ORD-1008,2025-03-05,Beauty,Product_42,Corporate,Will definitely buy again.,4,0.76,Positive,Pending
ORD-1009,2025-07-16,Electronics,Product_25,Small Business,"Amazing quality, fast shipping!",5,0.53,Positive,Replied
ORD-1010,2025-09-21,Home & Kitchen,Product_20,Corporate,"Average product, nothing special.",3,0.04,Neutral,Replied
ORD-1011,2025-12-23,Sports,Product_50,Corporate,Worst purchase ever.,2,-0.79,Negative,Replied
ORD-1012,2025-04-02,Fashion,Product_44,Consumer,Very poor customer service.,1,-0.91,Negative,Replied
ORD-1013,2025-04-17,Electronics,Product_17,Small Business,Does not match the description.,2,-0.72,Negative,Replied
ORD-1014,2025-04-12,Sports,Product_30,Small Business,Does not match the description.,2,-0.83,Negative,Pending
ORD-1015,2025-04-07,Fashion,Product_42,Corporate,"Amazing quality, fast shipping!",5,0.58,Positive,Replied
ORD-1016,2025-06-07,Beauty,Product_16,Small Business,Decent quality.,3,-0.19,Neutral,Pending
ORD-1017,2025-04-13,Beauty,Product_22,Small Business,Worst purchase ever.,1,-0.86,Negative,Pending
ORD-1018,2025-04-06,Home & Kitchen,Product_11,Consumer,Perfect fit and great color.,5,0.97,Positive,Pending
ORD-1019,2025-08-28,Electronics,Product_7,Consumer,"Average product, nothing special.",3,-0.01,Neutral,Replied
ORD-1020,2025-01-28,Beauty,Product_25,Corporate,Worst purchase ever.,2,-0.83,Negative,Pending
ORD-1021,2025-09-19,Beauty,Product_34,Small Business,Broken on arrival.,2,-0.65,Negative,Replied
ORD-1022,2025-10-28,Beauty,Product_11,Corporate,Perfect fit and great color.,4,0.53,Positive,Pending
ORD-1023,2025-01-08,Fashion,Product_21,Consumer,Very poor customer service.,1,-0.79,Negative,Replied
ORD-1024,2025-08-08,Home & Kitchen,Product_30,Small Business,Will definitely buy again.,4,0.94,Positive,Pending
ORD-1025,2025-06-25,Fashion,Product_9,Corporate,Very poor customer service.,1,-0.83,Negative,Replied
ORD-1026,2025-06-16,Home & Kitchen,Product_14,Corporate,Will definitely buy again.,5,0.87,Positive,Replied
ORD-1027,2025-06-11,Electronics,Product_31,Small Business,Decent quality.,3,-0.08,Neutral,Pending
ORD-1028,2025-01-20,Home & Kitchen,Product_20,Small Business,Exceeded my expectations.,5,0.63,Positive,Replied
ORD-1029,2025-09-05,Beauty,Product_44,Consumer,Broken on arrival.,1,-0.69,Negative,Pending
ORD-1030,2025-07-12,Home & Kitchen,Product_5,Corporate,Very poor customer service.,2,-0.77,Negative,Pending
ORD-1031,2025-05-08,Beauty,Product_50,Corporate,Does not match the description.,2,-0.74,Negative,Replied
ORD-1032,2025-06-27,Home & Kitchen,Product_10,Corporate,Worst purchase ever.,2,-0.54,Negative,Replied
ORD-1033,2025-05-10,Home & Kitchen,Product_35,Small Business,It's okay for the price.,3,0.34,Neutral,Pending
ORD-1034,2025-02-14,Beauty,Product_41,Corporate,"Arrived on time, works as expected.",3,-0.35,Neutral,Pending
ORD-1035,2025-12-13,Beauty,Product_4,Consumer,Very poor customer service.,2,-0.78,Negative,Replied
ORD-1036,2025-02-03,Beauty,Product_43,Consumer,Exceeded my expectations.,4,1.0,Positive,Pending
ORD-1037,2025-10-17,Home & Kitchen,Product_18,Small Business,Decent quality.,3,0.1,Neutral,Pending
ORD-1038,2025-05-15,Beauty,Product_16,Small Business,Very poor customer service.,2,-0.76,Negative,Pending
ORD-1039,2025-12-19,Sports,Product_37,Small Business,It's okay for the price.,3,-0.08,Neutral,Pending
ORD-1040,2025-12-29,Beauty,Product_28,Small Business,Broken on arrival.,1,-0.66,Negative,Replied
ORD-1041,2025-05-24,Fashion,Product_8,Corporate,"Arrived on time, works as expected.",3,-0.07,Neutral,Pending
ORD-1042,2025-05-24,Electronics,Product_42,Corporate,Worst purchase ever.,1,-0.69,Negative,Replied
ORD-1043,2025-02-13,Home & Kitchen,Product_17,Corporate,Perfect fit and great color.,4,0.59,Positive,Pending
ORD-1044,2025-05-14,Fashion,Product_47,Corporate,Worst purchase ever.,1,-0.9,Negative,Pending
ORD-1045,2025-08-11,Home & Kitchen,Product_31,Consumer,"Average product, nothing special.",3,-0.22,Neutral,Pending
ORD-1046,2025-07-30,Sports,Product_11,Corporate,Worst purchase ever.,2,-0.95,Negative,Replied
ORD-1047,2025-08-17,Electronics,Product_25,Small Business,"Arrived on time, works as expected.",3,-0.06,Neutral,Replied
ORD-1048,2025-12-22,Home & Kitchen,Product_2,Small Business,Very poor customer service.,1,-0.71,Negative,Pending
ORD-1049,2025-03-15,Electronics,Product_20,Small Business,Will definitely buy again.,4,0.9,Positive,Replied
ORD-1050,2025-05-13,Fashion,Product_31,Consumer,Exceeded my expectations.,5,0.67,Positive,Replied
ORD-1051,2025-08-06,Beauty,Product_22,Consumer,Very poor customer service.,2,-0.51,Negative,Pending
ORD-1052,2025-06-14,Fashion,Product_34,Corporate,Perfect fit and great color.,4,0.84,Positive,Replied
ORD-1053,2025-09-30,Sports,Product_43,Small Business,Will definitely buy again.,5,0.77,Positive,Pending
ORD-1054,2025-02-25,Beauty,Product_32,Corporate,Does not match the description.,2,-0.56,Negative,Pending
ORD-1055,2025-10-18,Electronics,Product_38,Corporate,"Arrived on time, works as expected.",3,0.33,Neutral,Pending
ORD-1056,2025-07-27,Electronics,Product_6,Corporate,Will definitely buy again.,4,0.51,Positive,Pending
